Código,Producto,Categoría,KG x Unidad,KG x Bulto,Precio x Unidad,Precio x Bulto
SLTAE1,Arveja entera,SALVELATIERRA,1,25,"$1.690,00","$39.000,00"
SLTAP1,Arveja partida,SALVELATIERRA,1,25,"$1.742,00","$40.200,00"
SLTAA1,Avena arrollada,SALVELATIERRA,1,20,"$2.600,00","$48.000,00"
SLTG1,Garbanzo,SALVELATIERRA,1,25,"$2.041,00","$47.100,00"
SLTL1,Lenteja,SALVELATIERRA,1,25,"$2.587,00","$59.700,00"
SLTM1,Mijo pelado,SALVELATIERRA,1,25,"$2.080,00","$48.000,00"
SLTHG5,Harina de garbanzo,SALVELATIERRA,1,25,"$2.119,50","$47.100,00"
SLTBOGB,Balanceado p/gallinas,SALVELATIERRA,0,30,$-,"$15.840,00"
SLTLM1,Lino marrón,SALVELATIERRA,1,25,"$2.041,00","$47.100,00"
SLTMP1,Maíz pisingallo,SALVELATIERRA,1,25,"$1.742,00","$40.200,00"
SLTPAD1,Poroto Adzuki,SALVELATIERRA,1,25,"$2.450,50","$56.550,00"
SLTPAL1,Poroto Alubia,SALVELATIERRA,1,25,"$2.301,00","$53.100,00"
SLTPC1,Poroto Colorado,SALVELATIERRA,1,25,"$2.301,00","$53.100,00"
SLTPS1,Poroto de Soja,SALVELATIERRA,1,25,"$1.209,00","$27.900,00"
SLTPM1,Poroto Mung,SALVELATIERRA,1,25,"$1.690,00","$39.000,00"
SLTPN1,Poroto Negro,SALVELATIERRA,1,25,"$2.028,00","$46.800,00"
SLTSC1,Semilla de Chia,SALVELATIERRA,1,25,"$4.420,00","$102.000,00"
SLTSG1,Semilla de Girasol,SALVELATIERRA,1,20,"$2.600,00","$48.000,00"
SLTS1,Sésamo,SALVELATIERRA,1,25,"$3.380,00","$78.000,00"
SLTQ1,Quinoa,SALVELATIERRA,1,25,"$2.015,00","$46.500,00"
CGSAY1,Arroz yamani,CEREALESGRANOSYSEMILLAS,1,30,"$1.495,00","$41.400,00"
CGSAILF1,Arroz integral largo fino,CEREALESGRANOSYSEMILLAS,1,30,$-,$-
CGSAYIO7U,"Arroz Yamani Integral Orgánico ""Schatzi"" x 750 Grs.",CEREALESGRANOSYSEMILLAS,1,12,"$2.776,95","$30.114,48"
CGSAILO7U,"Arroz Integral Largo Orgánico ""Schatzi"" x 750 Grs.",CEREALESGRANOSYSEMILLAS,1,12,"$3.675,38","$39.857,40"
CGSABO7U,"Arroz Blanco Orgánico ""Schatzi"" x 750 Grs.",CEREALESGRANOSYSEMILLAS,1,12,"$4.083,75","$44.286,00"
